
| **Page / Module**     | **Change Details**                                                                                                 |
| --------------------- | ------------------------------------------------------------------------------------------------------------------ |
| UI Main Screen Revamp | Home, Contacts, Pay, Dashboard, Settings                                                                           |
| Home                  | Move **Add Pioneer** and **Add Transaction** buttons between **Total Debit** and **Total Credit** button alignment |
| Contacts List         | Arrange contacts alphabetically like a phonebook                                                                   |
| Contacts List         | Add **Search Contacts** functionality                                                                              |
| Contacts List         | Add option to edit wallet address inside contact                                                                   |
| Contacts List         | Auto-navigate after **Add Pioneer** completion                                                                     |
| Contacts List         | Move user to the newly created contact row                                                                         |
| Contacts List         | Highlight the newly created contact row after wallet mapping                                                       |
| Open Ledger           | Move **Open Ledger** option inside **Contacts** and revamp the Open Ledger UI                                      |
| Open Ledger           | Show all transactions for the selected Pioneer                                                                     |
| Open Ledger           | **Open Pioneer Ledger automatically after manual transaction save**                                                |
| Add Pioneer           | Convert **Individual** and **Business** selection into circular UI                                                 |
| Add Pioneer           | Convert **Manual** and **Automatic** selection into circular UI                                                    |
| Add Pioneer           | Horizontal selection layout changes                                                                                |
| Add Pioneer           | Popup animation implementation                                                                                     |
| Add Pioneer           | Add **Individual** and **Business** icons                                                                          |
| Add Pioneer           | Move **X** button outside popup                                                                                    |
| Manual Transaction    | Add **Note/Memo** optional field                                                                                   |
| Manual Transaction    | Add contact search from Pioneer selection                                                                          |
| Manual Transaction    | Add **Transaction ID** information button                                                                          |
| Manual Transaction    | Add **Transaction ID** explanation                                                                                 |
| Manual Transaction    | Add example text inside **Transaction ID** field                                                                   |
| Manual Transaction    | Improve **Pi** symbol size and alignment                                                                           |
| Automatic Transaction | Search Contact → Select Contact → Fetch workflow UI                                                                |
| Automatic Transaction | Add scanning status screen with magnifying glass icon                                                              |
| Automatic Transaction | Add RPC retrieval status screen with server icon                                                                   |
| Automatic Transaction | Display date during fetch flow                                                                                     |
| Automatic Transaction | Show validation popup for maximum 1-year date selection                                                            |
| Profile               | Update to circular profile image                                                                                   |
| Profile               | Fetch and display **Legal Name** and **Username** from Pi authentication                                           |




If you have any queries , first ask and do not proceed until I allow.
